base_t,next_t,delta_global,weight_global,delta_early,weight_early,delta_mid,weight_mid,delta_late,weight_late
3.6,4.6,0.006512402508149981,0.019565449792343426,-0.007484380019371865,0.02310473858056447,0.01669237440344335,0.019664746450767708,0.010329511236187234,0.01610105503829788
3.7,4.7,0.007052795754984888,0.01947277053805915,-0.005605256247028594,0.02302152392754366,0.017957457593261002,0.01973054040123663,0.008806505235321999,0.0158478062979052
3.8000000000000003,4.800000000000001,0.005931972296089734,0.01689654356025067,-0.00543829230907806,0.01996370198474064,0.01624369979039951,0.017091109806479356,0.006990811360901019,0.01379050753881057
3.9000000000000004,4.9,0.004704265120026336,0.013831187414417056,-0.004995043768236977,0.01630774085252625,0.013168933383507496,0.01376149495221325,0.005939153612108189,0.011540141173220775
4.0,5.0,0.0035135098245192755,0.011319763310100903,-0.005353930882410687,0.013369218022797858,0.010112547991760062,0.011009293960713332,0.005782105601050629,0.00966559029854622
4.1000000000000005,5.1000000000000005,0.0028383737704958255,0.009431907624369245,-0.00513229116346269,0.011313575694203394,0.007720687755662305,0.009095269553470195,0.005926867686022005,0.007962495792536519
4.200000000000001,5.200000000000001,0.01370290582696494,0.00844210510712877,-4.114839162228011e-05,0.010437220991546783,0.01586491271935941,0.008251579426200382,0.025285016462293645,0.006724952484132567
4.300000000000001,5.300000000000001,-0.005331013396534484,0.009244042596477523,-0.007976563990974031,0.011497735154979082,-0.014743478644757089,0.009072683286543842,0.006726726824890884,0.007262392822656528
4.4,5.4,0.0005293836763233941,0.01305963435738527,-0.002090668539003151,0.015203869451258218,-0.012925430651442074,0.012287510731577052,0.016603856227780447,0.011756742261390582
4.500000000000001,5.500000000000001,0.00019064312559389937,0.021026419739871145,-0.0013824122991107392,0.021867893281872136,-0.015189663224478163,0.018527503773164384,0.017143554525367203,0.022615220145898212
4.600000000000001,5.600000000000001,0.0032443733364175445,0.03296920160693642,0.002846926666033099,0.030830492754027154,-0.013483210268879678,0.0275758769613055,0.02036891378534724,0.04016328608128179
4.700000000000001,5.700000000000001,0.0031553990222545638,0.04585230555314179,0.0021930359797270554,0.03980721757550846,-0.014295990453957704,0.03732896035333229,0.02156864051934099,0.05975875282734158
4.800000000000001,5.800000000000001,0.002038357313338127,0.05482873560642452,0.0004854899523746741,0.0459539511467646,-0.01561907890788714,0.04454856361170365,0.021248143840294116,0.07310925333597076
4.900000000000001,5.900000000000001,0.0020682752538833883,0.05742224051878537,9.421830040684683e-05,0.04859280009965906,-0.015275837458511273,0.04780217937702619,0.021385937039440066,0.07502827976431636
5.000000000000002,6.000000000000002,0.016652065144004163,0.056114756612191626,0.01151350658474167,0.05012967850381755,-0.0012829543840927205,0.04918944617569819,0.039725118047775794,0.06843576057602893
5.100000000000001,6.100000000000001,0.016488736607261693,0.055666866575029436,0.01128857454448884,0.05332622642490399,-0.00023427784324604931,0.05221026133957105,0.03841142342758476,0.061200969723496576
5.200000000000001,6.200000000000001,0.005371319062208212,0.058434097925833456,0.006912854854257961,0.05833137828061013,-0.008530519299691668,0.058168095185058354,0.01773121455040831,0.058786285022204725
5.300000000000002,6.300000000000002,0.02258820796364636,0.0630369200830014,0.018414249382692864,0.06313326548655845,0.019469724371454115,0.06517635625604416,0.02988055881955622,0.06089910467665781
5.400000000000002,6.400000000000002,0.01647101983441188,0.06648327483713767,0.013013401902482942,0.06578105645912279,0.01677277737708609,0.07001218021818588,0.019626889059904284,0.06377685085183661
5.500000000000002,6.500000000000002,0.016610714761200216,0.06624182579656902,0.01259390235292961,0.06503664039859018,0.01768697296819066,0.07014809682129892,0.01955130047809145,0.06365332890807275
5.600000000000001,6.600000000000001,0.027661275857401007,0.06129508400752182,0.01027396055786263,0.06032741000730621,0.027601079707669045,0.06499240763576199,0.04510878554397413,0.05868030557293527
5.700000000000002,6.700000000000002,0.02791477370043825,0.05309959855976411,0.010980157976017242,0.052885744652800985,0.027447870170682794,0.05667654886298446,0.04531627928247771,0.049882299063400956
5.8000000000000025,6.8000000000000025,0.029409333100193082,0.044901627087314794,0.012762402352084555,0.045648978064207126,0.028802155686538544,0.0488038288898581,0.046663423482237676,0.04045819212532963
5.900000000000002,6.900000000000002,0.029720672092770517,0.03846744849306286,0.01325021238788226,0.0401077141682585,0.02920543238497046,0.042841424893038514,0.046706356417912896,0.03272276046941564
6.000000000000002,7.000000000000002,0.0151604632393138,0.03232550821012748,0.0018897533489591666,0.034462042779824266,0.01590653838080362,0.036688736945619575,0.027685119835181838,0.02611864710385049
6.100000000000002,7.100000000000002,0.015011954283510914,0.024479254116002547,0.001893534224615308,0.026509718351856348,0.01538084381160437,0.028059398869711406,0.027761495616350183,0.019122291279300034
6.200000000000003,7.200000000000003,0.014719546340675212,0.015545230244041771,0.0018077638916761927,0.017010509318283348,0.014577845665043174,0.01788986539592354,0.02777302531594655,0.011907933107645777
6.3000000000000025,7.3000000000000025,0.014469425933035638,0.007967966864105516,0.0017091010566692888,0.00878273439753759,0.013969922690760219,0.009186068953500255,0.027729239424936422,0.006027344844901885
6.400000000000002,7.400000000000002,0.014460790782550198,0.0032897243290525837,0.0015869396058996392,0.0036523796386861962,0.014113433620859858,0.0038209066380185935,0.027681988949376287,0.002436466525921413
6.500000000000003,7.500000000000003,0.01502223717301397,0.001289380897052739,0.0012979330707347085,0.0014654299159684075,0.016096951762909893,0.001605268019689593,0.027671858155807187,0.0008196757130150834
6.600000000000003,7.600000000000003,0.009073778145476706,0.0010672295736674372,0.004958313638336871,0.0012849671308675843,0.01540304495720027,0.0015987304889383406,0.006860161178134982,0.00035162988803400837
6.700000000000003,7.700000000000003,0.012804214754726836,0.0019967095002281377,0.003415610993561693,0.002454154277156058,0.02800526253382952,0.0031862683069839967,0.006992215862639458,0.00042355946996198263
6.8000000000000025,7.8000000000000025,0.01836903307367418,0.0036449118151769488,0.0011210315665572512,0.004489464993101261,0.04679265900854411,0.005854374064383555,0.007194240962932052,0.0007278259304270328
6.900000000000003,7.900000000000003,0.02381851013280626,0.0052932026646324,-0.0011251228901885037,0.006520807288664813,0.06518906467386024,0.008506424486639927,0.007392800051190381,0.0010514827000333612
7.0000000000000036,8.000000000000004,0.026138842836006475,0.005997074482795228,-0.0020814629566703515,0.0073880199438866225,0.07302198241974799,0.009637998907357946,0.007477381904081604,0.0011908105852246062
