priority_rank,cross_bin,cross_label,tactical_action,decision_class,final_action,expected_delta_q_next_5pp_ah,strategy_compatibility,strategic_risk_level,evidence_tier,support_domain,constraint_note,soc_label,rate_label,temp_label
1,50,s3_r2_t5,增加份额,可上线,执行 +5pp 替代（在战略约束内）,0.0007032515767341,兼容,低,A,高,需满足温度/电流安全边界,"[90,100]","[0.434,1.99)","[36,60]"
2,25,s2_r1_t5,观察验证,待验证,保持现状并继续验证,0.0,兼容,低,C,低,等待更多证据后升级动作,"[10,90)","[0,0.434)","[36,60]"
3,44,s3_r1_t4,增加份额,可上线,执行 +5pp 替代（在战略约束内）,0.0005402963138561,兼容,低,B,高,需满足温度/电流安全边界,"[90,100]","[0,0.434)","[34,36)"
4,41,s3_r1_t1,降低份额,可上线,执行 -5pp 回撤并转移至其余池,-0.0003827873253044,兼容,低,A,高,用于抑制潜在衰减风险,"[90,100]","[0,0.434)","[20,31)"
5,27,s2_r2_t2,观察验证,待验证,保持现状并继续验证,0.0,兼容,低,C,高,等待更多证据后升级动作,"[10,90)","[0.434,1.99)","[31,32)"
6,30,s2_r2_t5,观察验证,待验证,保持现状并继续验证,0.0,兼容,低,C,高,等待更多证据后升级动作,"[10,90)","[0.434,1.99)","[36,60]"
7,29,s2_r2_t4,观察验证,待验证,保持现状并继续验证,0.0,兼容,低,C,高,等待更多证据后升级动作,"[10,90)","[0.434,1.99)","[34,36)"
8,28,s2_r2_t3,观察验证,待验证,保持现状并继续验证,0.0,兼容,低,C,高,等待更多证据后升级动作,"[10,90)","[0.434,1.99)","[32,34)"
9,43,s3_r1_t3,观察验证,待验证,保持现状并继续验证,0.0,兼容,低,C,高,等待更多证据后升级动作,"[90,100]","[0,0.434)","[32,34)"
10,49,s3_r2_t4,观察验证,待验证,保持现状并继续验证,0.0,兼容,低,C,高,等待更多证据后升级动作,"[90,100]","[0.434,1.99)","[34,36)"
